LayerName,Min X,Max X,Min Y,Max Y,TimeStart,TimeEnd
AverageChlorophyll,-90,90,-180,180,"""2015-01-01T00:00:00+00:00""","""2015-04-01T00:00:00.000Z"""
dominant_leaf_type,24.2841706879485696768,72.66326966834436,-56.50514190170437,72.90610493415677264,"""2015-01-01T08:12:02.000Z""","""2015-01-02T08:12:02.000Z"""
european_settlement_map,26.77070755406461374043,43.28558635707844,-22.40116497579485,42.88707781387622843374,"""2015-01-01T08:12:02.000Z""","""2015-01-02T08:12:02.000Z"""
grassland__change,24.2841706879485696768,72.66326966834436,-56.50514190170437,72.90610493415677264,"""2018-01-01T08:12:02.000Z""","""2018-01-02T08:12:02.000Z"""
grassland_change,42.56984729419207106886,42.57005550657336,18.261940407012364,18.26214861939365293114,"""2018-01-01T20:12:02+00:00""","""2018-01-01T20:12:02+00:00"""
grassland_status,24.2841706879485696768,72.66326966834436,-56.50514190170437,72.90610493415677264,"""2018-01-01T08:12:02.000Z""","""2018-01-02T08:12:02.000Z"""
high_resolution_layer_forest_type,27.0428,72.2158,-31.9005,46.1949,"""2018-01-01T08:12:02.000Z""","""2018-01-02T08:12:02.000Z"""
imperviousness,27.0428,72.2158,-27.3444,35.4948,NA,NA
maxes_sentinel2_2018_flevopolder_10m_7x4bands,27.0428,72.2158,-27.3444,35.4948,NA,NA
sentinel2_2018_flevopolder_10m_7x4bands,52.5916925228135960458,52.80702616220942,5.583296072973674,6.407948307070815151,NA,NA
small_woody_features,937300,5405400,933700,7317100,"""2015-01-01T08:12:02.000Z""","""2015-01-02T08:12:02.000Z"""
tree_cover_density,27.0428,72.2158,-31.9005,46.1949,"""2018-01-01T08:12:02.000Z""","""2018-01-02T08:12:02.000Z"""
water_and_wetness,27.0428,72.2158,-31.9005,46.1949,"""2018-01-01T08:12:02.000Z""","""2018-01-02T08:12:02.000Z"""
