"2024-12-19 11:55:40,475 - INFO - TESTING AUTHENTICATION!"
"2024-12-19 11:55:41,129 - INFO - Layer has 3 Dimensions: AD4GD_GBIF"
"2024-12-19 11:55:41,234 - INFO - Layer has 3 Dimensions: ADC_Arable_Land_Markers_Autumn"
"2024-12-19 11:55:41,349 - INFO - Layer has 3 Dimensions: ADC_Arable_Land_Markers_Spring"
"2024-12-19 11:55:41,444 - INFO - Layer has 3 Dimensions: ADC_Crop_Parcels_Crop_Code"
"2024-12-19 11:55:41,572 - INFO - Layer has 3 Dimensions: ADC_Crop_Parcels_Field_ID"
"2024-12-19 11:55:41,686 - INFO - Layer has 3 Dimensions: ADC_Crop_Rotation_Index"
"2024-12-19 11:55:41,791 - INFO - Layer has 3 Dimensions: ADC_Grassland_Markers_NDVI_Spring"
"2024-12-19 11:55:41,901 - INFO - Layer has 3 Dimensions: ADC_Grassland_Markers_No_Mowing"
"2024-12-19 11:55:42,044 - INFO - Layer has 3 Dimensions: ADC_arable_land_markers_no_ndvi"
"2024-12-19 11:55:42,151 - INFO - Layer has 3 Dimensions: LGN"
"2024-12-19 11:55:42,256 - INFO - Layer has 3 Dimensions: LGN_Monitoring"
"2024-12-19 11:55:42,375 - INFO - Layer has 3 Dimensions: Precipitation_Netherlands"
"2024-12-19 11:55:42,502 - INFO - Layer has 3 Dimensions: S2_L2A_Netherlands_CloudFree"
"2024-12-19 11:55:42,626 - INFO - Warning: Null Value could not be found in Coverage Description. Default setting for Null Value is NA."
"2024-12-19 11:55:42,627 - INFO - Coverage S2_L2A_Netherlands_CloudFree  has 4 bands:"
"2024-12-19 11:55:42,627 - INFO - S2_L2A_Netherlands_CloudFree: Band 0 : blue"
"2024-12-19 11:55:42,627 - INFO - S2_L2A_Netherlands_CloudFree: Band 1 : green"
"2024-12-19 11:55:42,627 - INFO - S2_L2A_Netherlands_CloudFree: Band 2 : red"
"2024-12-19 11:55:42,627 - INFO - S2_L2A_Netherlands_CloudFree: Band 3 : nir"
"2024-12-19 11:55:42,627 - INFO - Layer has 3 Dimensions: Temperature_Netherlands"
"2024-12-19 11:55:42,724 - INFO - Layer has 3 Dimensions: corine_land_cover"
"2024-12-19 11:55:42,832 - INFO - Layer has 3 Dimensions: dominant_leaf_type_10m"
"2024-12-19 11:55:42,935 - INFO - Layer has 3 Dimensions: dominant_leaf_type_20m"
"2024-12-19 11:55:43,037 - INFO - Layer has 3 Dimensions: eu_demography"
"2024-12-19 11:55:43,159 - INFO - Layer has 3 Dimensions: european_settlement_map_2015"
"2024-12-19 11:55:43,268 - INFO - Layer has 3 Dimensions: european_settlement_map_2018"
"2024-12-19 11:55:43,381 - INFO - Layer has 3 Dimensions: forest_type_10m"
"2024-12-19 11:55:43,493 - INFO - Layer has 3 Dimensions: forest_type_20m"
"2024-12-19 11:55:43,608 - INFO - Layer has 3 Dimensions: global_pesticide_grids_apr_h"
"2024-12-19 11:55:43,769 - INFO - Warning: Null Value could not be found in Coverage Description. Default setting for Null Value is NA."
"2024-12-19 11:55:43,769 - INFO - Coverage global_pesticide_grids_apr_h  has 200 bands:"
"2024-12-19 11:55:43,769 - INFO - global_pesticide_grids_apr_h: Band 0 : Alfalfa_2_4_d"
"2024-12-19 11:55:43,769 - INFO - global_pesticide_grids_apr_h: Band 1 : Alfalfa_2_4_db"
"2024-12-19 11:55:43,769 - INFO - global_pesticide_grids_apr_h: Band 2 : Alfalfa_Bromoxynil"
"2024-12-19 11:55:43,769 - INFO - global_pesticide_grids_apr_h: Band 3 : Alfalfa_Carbaryl"
"2024-12-19 11:55:43,769 - INFO - global_pesticide_grids_apr_h: Band 4 : Alfalfa_Chlorpyrifos"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 5 : Alfalfa_Clethodim"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 6 : Alfalfa_Cyhalothrin_lambda"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 7 : Alfalfa_Dimethoate"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 8 : Alfalfa_Diuron"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 9 : Alfalfa_Eptc"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 10 : Alfalfa_Glyphosate"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 11 : Alfalfa_Hexazinone"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 12 : Alfalfa_Indoxacarb"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 13 : Alfalfa_Malathion"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 14 : Alfalfa_Metribuzin"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 15 : Alfalfa_Paraquat"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 16 : Alfalfa_Pendimethalin"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 17 : Alfalfa_Phosmet"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 18 : Alfalfa_Sethoxydim"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 19 : Alfalfa_Trifluralin"
"2024-12-19 11:55:43,770 - INFO - global_pesticide_grids_apr_h: Band 20 : Corn_2_4_d"
