"","V1","V2","pv$pvalues"
"Response V1","2L","6716",0.939460852599259
"Response V2","2L","100206",0.562282461991125
"Response V3","2L","181174",0.0446280597736705
"Response V4","2L","182829",0.252368481368791
"Response V5","2L","220765",0.269309096103686
"Response V6","2L","224707",0.305153081172278
"Response V7","2L","237731",0.0015896060286646
"Response V8","2L","246639",0.593241045506456
"Response V9","2L","247721",0.982790142827637
"Response V10","2L","252459",0.857947890471464
"Response V11","2L","259407",0.952576840210648
"Response V12","2L","259412",0.637872131983347
"Response V13","2L","259433",0.51479028019852
"Response V14","2L","269047",0.606600530889239
"Response V15","2L","275737",0.612638320992757
"Response V16","2L","283789",0.000899951309973694
"Response V17","2L","306420",0.583908414176603
"Response V18","2L","308469",0.362947737013323
"Response V19","2L","312502",0.871590158256484
"Response V20","2L","312512",0.262080124275919
"Response V21","2L","312513",0.992341550142033
"Response V22","2L","312523",0.535385371497514
"Response V23","2L","315095",0.853179899083581
"Response V24","2L","315117",0.587408383168682
"Response V25","2L","325202",0.847944293754595
"Response V26","2L","329809",0.0780409722759504
"Response V27","2L","329822",0.00745202131818047
"Response V28","2L","341517",0.367108312400918
"Response V29","2L","346672",0.00118055091238701
"Response V30","2L","347159",0.849253772627589
"Response V31","2L","357971",0.402255739261845
"Response V32","2L","372302",0.340918704071976
"Response V33","2L","373572",0.0998771418240924
"Response V34","2L","374982",0.49179523080181
"Response V35","2L","375404",0.780674884667531
"Response V36","2L","379879",0.755800083881523
"Response V37","2L","380287",0.728640520494176
"Response V38","2L","388061",0.650024904557822
"Response V39","2L","391328",0.220412743189292
"Response V40","2L","391388",0.475927367402597
"Response V41","2L","392178",1.1797342033226e-06
"Response V42","2L","392676",0.580510951234148
"Response V43","2L","392969",0.714062578768719
"Response V44","2L","399523",0.582807552365826
"Response V45","2L","402136",0.306592291320397
"Response V46","2L","402435",0.659477388736043
"Response V47","2L","408181",0.454554201411355
"Response V48","2L","425737",0.135744612634935
"Response V49","2L","427198",0.409100866554281
"Response V50","2L","437383",0.539860676548778
"Response V51","2L","440701",0.584730904799455
"Response V52","2L","441590",0.743348483103435
"Response V53","2L","452369",0.577060929588634
"Response V54","2L","474547",0.697355322538117
"Response V55","2L","483339",0.160613825416585
"Response V56","2L","483363",0.27040295559822
"Response V57","2L","485004",0.43696203388983
"Response V58","2L","492215",0.576991002893071
"Response V59","2L","493505",0.967312411449547
"Response V60","2L","501492",0.0204505573176091
"Response V61","2L","509132",0.69079017675826
"Response V62","2L","511531",0.881889995957457
"Response V63","2L","512184",0.599084689712667
"Response V64","2L","517250",0.173291724017177
"Response V65","2L","521762",0.934957086580852
"Response V66","2L","521790",0.757092806813709
"Response V67","2L","522179",1.64443703472927e-06
"Response V68","2L","525878",0.529262685060114
"Response V69","2L","582750",0.911190240563263
"Response V70","2L","582837",0.171570726957012
"Response V71","2L","587806",0.114457311289082
"Response V72","2L","589120",0.343745437679186
"Response V73","2L","589524",0.588647015155728
"Response V74","2L","589722",0.454741848272521
"Response V75","2L","589726",0.503669817176932
"Response V76","2L","595843",0.47946391369969
"Response V77","2L","600741",0.681943320085609
"Response V78","2L","600876",0.479800642998195
"Response V79","2L","601505",0.473233361965327
"Response V80","2L","605125",0.211899601774535
"Response V81","2L","605582",0.360542670415385
"Response V82","2L","605583",0.296849501409108
"Response V83","2L","607271",0.359783700810385
"Response V84","2L","607285",0.755904425987232
"Response V85","2L","609108",0.777128487072454
"Response V86","2L","609207",0.861104296213324
"Response V87","2L","609693",0.287431035148513
"Response V88","2L","613733",0.00690101064420877
"Response V89","2L","615095",0.216385310705507
"Response V90","2L","618816",0.920260285157539
"Response V91","2L","621501",0.4008568377606
"Response V92","2L","623076",0.323019396577442
"Response V93","2L","630769",0.00123807106409076
"Response V94","2L","632026",0.295381327257306
"Response V95","2L","632923",0.432591174731107
"Response V96","2L","635181",0.000286158163529179
"Response V97","2L","636965",0.0168818936535859
"Response V98","2L","637986",0.0919341191197128
"Response V99","2L","639878",0.120931314129912
"Response V100","2L","646418",0.493219589283999
"Response V101","2L","647315",0.382705099205738
"Response V102","2L","650397",0.794498698930498
"Response V103","2L","659396",0.478178290434514
"Response V104","2L","660913",0.774614629005037
"Response V105","2L","664968",0.553911461421841
"Response V106","2L","665590",0.650106590503872
"Response V107","2L","665633",0.00179766672872968
"Response V108","2L","665679",0.539626688485616
"Response V109","2L","666263",0.977178295482055
"Response V110","2L","667284",0.114405601061121
"Response V111","2L","667291",0.0127216080514072
"Response V112","2L","667728",0.733030289527437
"Response V113","2L","667762",0.0483401569023168
"Response V114","2L","670666",0.129458350561652
"Response V115","2L","670712",0.483114475936649
"Response V116","2L","678066",0.659383467187641
"Response V117","2L","679245",0.859318051753274
"Response V118","2L","681106",0.381381016698331
"Response V119","2L","683707",0.0170747544755033
"Response V120","2L","698487",0.181259432422755
"Response V121","2L","699925",0.76873572290237
"Response V122","2L","700787",0.0131809466335897
"Response V123","2L","701864",0.455134346992834
"Response V124","2L","703959",0.129050190285273
"Response V125","2L","704089",0.460944220098674
"Response V126","2L","704166",0.812815796569392
"Response V127","2L","705007",0.000668095917370549
"Response V128","2L","705782",0.415582413723908
"Response V129","2L","705792",0.416947758280557
"Response V130","2L","709729",0.0137750461483086
"Response V131","2L","716166",0.671497339222083
"Response V132","2L","716246",0.16567673136466
"Response V133","2L","716281",0.533965920566475
"Response V134","2L","716356",0.00830529874160918
"Response V135","2L","716435",0.414112931044469
"Response V136","2L","716551",6.28298067032623e-12
"Response V137","2L","716679",0.935054442246312
"Response V138","2L","717171",0.237697983270363
"Response V139","2L","717228",3.62781291832779e-07
"Response V140","2L","717887",0.889818064015672
"Response V141","2L","719418",0.701602364578942
"Response V142","2L","724817",0.232648293233677
"Response V143","2L","724877",0.0551233958133264
"Response V144","2L","730690",0.000483864434836959
"Response V145","2L","733931",0.0328893771753553
"Response V146","2L","733990",0.00116460550970953
"Response V147","2L","734091",0.00147424760115242
"Response V148","2L","744385",0.376437883647167
"Response V149","2L","747313",0.289095879395434
"Response V150","2L","751162",0.159722547365583
"Response V151","2L","762173",0.56541889948985
"Response V152","2L","763388",0.712106176478325
"Response V153","2L","766359",0.393825929934871
"Response V154","2L","770261",0.328672331148582
"Response V155","2L","772370",0.705765712869532
"Response V156","2L","776378",0.126433754953165
"Response V157","2L","776628",0.261712768999887
"Response V158","2L","778802",0.831927704578158
"Response V159","2L","780479",0.00186134912448369
"Response V160","2L","788710",0.584648129847138
"Response V161","2L","788769",0.740634807381057
"Response V162","2L","799397",0.587354512143752
"Response V163","2L","800098",0.769928283313969
"Response V164","2L","800108",0.218920792015119
"Response V165","2L","800273",0.515087910360375
"Response V166","2L","800338",0.99829563882491
"Response V167","2L","802501",0.673552756723711
"Response V168","2L","804017",0.284694980193883
"Response V169","2L","807772",0.7265726203021
"Response V170","2L","807847",0.884100643383612
"Response V171","2L","808048",0.665746980609405
"Response V172","2L","809642",0.502563295927147
"Response V173","2L","811352",0.0416419042675022
"Response V174","2L","833243",0.546108198453535
"Response V175","2L","833269",0.00204302318214695
"Response V176","2L","833764",0.579030931010662
"Response V177","2L","843684",0.170475739460205
"Response V178","2L","846608",0.830647382238283
"Response V179","2L","859079",0.127740043067244
"Response V180","2L","859994",0.0465461967695082
"Response V181","2L","867225",0.774894465696012
"Response V182","2L","867236",0.424648171354474
"Response V183","2L","889953",0.687479007752971
"Response V184","2L","890949",0.767445330378931
"Response V185","2L","892892",0.443670226013045
"Response V186","2L","895508",0.855900239480813
"Response V187","2L","897746",0.405878190439164
"Response V188","2L","897831",0.242336178756772
"Response V189","2L","897855",0.681993190141365
"Response V190","2L","897861",0.448654967026375
"Response V191","2L","897947",0.84052583411435
"Response V192","2L","909297",0.0394885387456041
"Response V193","2L","913267",0.0282170443977726
"Response V194","2L","913309",0.387286573285935
"Response V195","2L","913757",0.0491874656097045
"Response V196","2L","913825",0.530337608813867
"Response V197","2L","914326",0.0379653822010821
"Response V198","2L","917741",3.23277514131895e-05
"Response V199","2L","920561",0.641399768313354
"Response V200","2L","921710",0.516908787399144
"Response V201","2L","922622",0.299189151875201
"Response V202","2L","924435",0.00315286772927477
"Response V203","2L","924856",0.692429120109684
"Response V204","2L","924875",0.00125092058312302
"Response V205","2L","924998",0.32812160884048
"Response V206","2L","926162",0.815592018342458
"Response V207","2L","926320",0.626813469506702
"Response V208","2L","927066",0.491952709376341
"Response V209","2L","933490",0.499150360448153
"Response V210","2L","935347",0.0916483333608348
"Response V211","2L","937145",0.68125945318988
"Response V212","2L","937154",0.626167639819586
