"","DATA.Chr","DATA.Pos","adjusted.p.values"
"1","2L",6895,0.866673936461977
"2","2L",8958,0.775626187159141
"3","2L",9686,0.0380495984688239
"4","2L",22632,0.711686928418798
"5","2L",23454,0.869755524977244
"6","2L",30983,0.888493845292687
"7","2L",35574,0.701419837763564
"8","2L",44397,0.388932583010238
"9","2L",46105,0.839781665883855
"10","2L",56815,0.920738768396703
"11","2L",68876,0.325331742833576
"12","2L",78545,0.433440163636024
"13","2L",91143,0.430124175500131
"14","2L",95486,0.831207076565286
"15","2L",97355,0.279131482395406
"16","2L",116140,0.787525984450858
"17","2L",122159,0.403799332373139
"18","2L",123635,0.811928384256013
"19","2L",125962,0.932800431069582
"20","2L",128046,0.419607993659347
"21","2L",128876,0.884472045373241
"22","2L",134680,0.845232079457012
"23","2L",149947,0.865011278511166
"24","2L",150732,0.593302901819001
"25","2L",160583,0.443322006618132
"26","2L",163492,0.752459298883966
"27","2L",163611,0.00501783911822511
"28","2L",164590,0.849667760281829
"29","2L",170028,0.608881106396917
"30","2L",177121,0.987251548370338
"31","2L",181362,0.914620697546577
"32","2L",203721,0.892131870314548
"33","2L",211396,0.232167999270938
"34","2L",217904,0.781969087942473
"35","2L",221849,0.896730687283475
"36","2L",222114,0.921456372268066
"37","2L",236623,0.676437711992838
"38","2L",238525,0.110465529025048
"39","2L",245365,0.388406594246764
"40","2L",247552,0.292021102424856
"41","2L",252762,0.861709620195663
"42","2L",255814,0.401581023991437
"43","2L",270417,0.00251104868635261
"44","2L",270714,0.191437421511982
"45","2L",275765,7.30895063461062e-06
"46","2L",276009,0.755888201583277
"47","2L",278514,0.923281741804705
"48","2L",285787,0.0807307573473508
"49","2L",290790,0.0136170169698729
"50","2L",300316,0.915438482059787
"51","2L",303433,0.00426780080148776
"52","2L",312348,0.857162703070267
"53","2L",313895,0.985203606856628
"54","2L",314052,0.942372954256976
"55","2L",319731,0.953000342926205
"56","2L",319992,0.931054616793485
"57","2L",323132,0.0926567546219506
"58","2L",331692,0.696426007619621
"59","2L",334419,0.743523878517998
"60","2L",335025,0.821095265593862
"61","2L",344942,0.86247696040781
"62","2L",345812,0.0854824825038136
"63","2L",346923,0.593069160787392
"64","2L",366979,0.171605622706862
"65","2L",367265,0.812107127191171
"66","2L",372198,0.101889403666755
"67","2L",379493,0.17987413466127
"68","2L",398988,0.00215222583389183
"69","2L",415803,5.06935348244536e-06
"70","2L",417320,0.706546708738035
"71","2L",419138,0.674565699019921
"72","2L",424586,0.0790427961802677
"73","2L",436286,0.00174141606966457
"74","2L",440151,0.520840405436363
"75","2L",452159,0.345809402275329
"76","2L",467717,0.266744409895728
"77","2L",468354,0.399746529117463
"78","2L",469414,0.372399456571018
"79","2L",469685,0.092609440184151
"80","2L",482454,0.102925598431288
"81","2L",483234,0.13146965652117
"82","2L",487000,0.428588814136629
"83","2L",490230,0.388654983699308
"84","2L",493301,0.866369601767499
