"","DATA.Chr","DATA.Pos","adjusted.p.values"
"1","2L",6895,0.0721745267971202
"2","2L",8958,0.781795711764211
"3","2L",9686,0.0384831938455212
"4","2L",22632,0.948991362933672
"5","2L",23454,0.972648646371969
"6","2L",30983,0.89522084924817
"7","2L",35574,0.560886027901613
"8","2L",44397,0.344368857129963
"9","2L",46105,0.421040060749059
"10","2L",56815,0.690101253715525
"11","2L",68876,0.458930556441725
"12","2L",78545,0.723883477637607
"13","2L",91143,0.69183405009128
"14","2L",95486,0.835730168184101
"15","2L",97355,0.229235110812779
"16","2L",116140,0.997803583073944
"17","2L",122159,0.277004254205544
"18","2L",123635,0.586447502581412
"19","2L",125962,0.839314699598584
"20","2L",128046,0.442179456232293
"21","2L",128876,0.0125347023537827
"22","2L",134680,0.956413955961508
"23","2L",149947,0.96863407895546
"24","2L",150732,0.142370070715512
"25","2L",160583,0.871826404096198
"26","2L",163492,0.00160513628636838
"27","2L",163611,0.00322188693335849
"28","2L",164590,0.504534466056333
"29","2L",170028,0.725890845597641
"30","2L",177121,2.18464381951897e-05
"31","2L",181362,0.00161500946622553
"32","2L",203721,0.725140898527045
"33","2L",211396,0.640361828541119
"34","2L",217904,0.98506875031127
"35","2L",221849,0.697232664415145
"36","2L",222114,0.847919749692264
"37","2L",236623,0.731195373705275
"38","2L",238525,0.670919361581532
"39","2L",245365,0.601022329956286
"40","2L",247552,0.852068833363482
"41","2L",252762,0.994506312639752
"42","2L",255814,0.354273351583504
"43","2L",270417,0.283659108796006
"44","2L",270714,0.924189256570884
"45","2L",275765,0.921325642917601
"46","2L",276009,0.924566853812166
"47","2L",278514,0.74014592879912
"48","2L",285787,0.542275984089713
"49","2L",290790,0.00511901296883177
"50","2L",300316,0.464622124457468
"51","2L",303433,0.213176958162945
"52","2L",312348,0.614521318772125
"53","2L",313895,0.95349449057964
"54","2L",314052,0.931944483929637
"55","2L",319731,0.897911902597199
"56","2L",319992,0.838283229301185
"57","2L",323132,0.911117194422405
"58","2L",331692,0.946135702140961
"59","2L",334419,0.987169468929894
"60","2L",335025,0.855164577799739
"61","2L",344942,0.93159152675117
"62","2L",345812,0.648349032151698
"63","2L",346923,0.165019872988294
"64","2L",366979,0.424056300368814
"65","2L",367265,0.641803304706209
"66","2L",372198,0.990353664063025
"67","2L",379493,0.859424344520078
"68","2L",398988,0.102133587907094
"69","2L",415803,7.82351983937894e-05
"70","2L",417320,0.800367269324557
"71","2L",419138,0.678472723758489
"72","2L",424586,0.755817657503193
"73","2L",436286,0.00155132630378698
"74","2L",440151,0.878167992453538
"75","2L",452159,0.00753805392698755
"76","2L",467717,1.97817861607889e-05
"77","2L",468354,0.388363807291089
"78","2L",469414,0.00312186166233779
"79","2L",469685,1.79570238834325e-12
"80","2L",482454,0.770924414942866
"81","2L",483234,0.000211802546858845
"82","2L",487000,0.864379608292734
"83","2L",490230,0.446995950142591
"84","2L",493301,0.18182802033896
"85","2L",494001,0.744310034330104
"86","2L",498835,0.860932558293876
"87","2L",501789,0.982538971097438
"88","2L",504683,0.983275127064446
"89","2L",505628,0.992467121031052
"90","2L",506989,0.799178312577571
"91","2L",510376,0.94149346150926
"92","2L",511634,0.560722331257871
"93","2L",514851,0.882042176667034
"94","2L",515666,0.479877876583612
"95","2L",518158,5.27162064932049e-05
"96","2L",518891,0.0319207112138938
"97","2L",526014,0.855190544499696
"98","2L",541972,0.1363445925608
"99","2L",551044,0.95257481310619
"100","2L",553155,0.00046765049980361
"101","2L",560372,0.825883049644832
"102","2L",568456,0.271227944535458
"103","2L",572993,0.904989982360196
"104","2L",575912,0.673422427857889
"105","2L",575921,0.91637243139917
"106","2L",580247,0.39344005877047
"107","2L",581295,0.972369213195456
"108","2L",582054,0.920808195413172
"109","2L",583984,0.00373675900477955
"110","2L",588821,0.593943238212021
"111","2L",589939,0.606624265616071
"112","2L",590850,0.188662660732813
"113","2L",600117,0.40911611133512
"114","2L",603201,0.158340105572716
"115","2L",606082,0.989572657679002
"116","2L",606585,0.725946986477915
"117","2L",607429,0.89365861713188
"118","2L",611233,0.822451942912407
"119","2L",637432,0.189912597702427
"120","2L",646500,3.04627037904594e-05
"121","2L",647642,0.974300094344339
"122","2L",649004,0.153750394458543
"123","2L",649399,0.800972951119718
"124","2L",652048,0.921860028620816
"125","2L",654145,0.40584467811709
"126","2L",659392,0.239709312483567
"127","2L",663983,0.921409611093
"128","2L",665365,0.713914476917485
"129","2L",665410,0.986990937843735
"130","2L",667269,0.123460621624343
"131","2L",668922,0.821406448693586
"132","2L",670267,0.375895807369532
"133","2L",671498,0.833445931073815
"134","2L",673398,0.653003932593128
"135","2L",679157,0.801144662231654
"136","2L",679701,0.201975305771303
"137","2L",680272,0.979319302427001
"138","2L",683695,0.829238785736952
"139","2L",684473,0.690943849062456
"140","2L",686211,2.55254851511195e-06
"141","2L",697718,0.25402961008896
"142","2L",706615,0.689888107224389
"143","2L",708179,0.0615483511762855
"144","2L",709803,0.785872454817825
"145","2L",715789,0.867995679945164
"146","2L",717866,0.117216205403577
"147","2L",726121,0.0070257032511855
"148","2L",726701,6.98656558344039e-13
"149","2L",732502,0.193990339702066
"150","2L",733168,0.976443793781084
"151","2L",736048,0.548653876980876
"152","2L",736446,0.478551090039057
"153","2L",736608,0.979976881889746
"154","2L",740706,1.57881284948034e-06
"155","2L",745395,0.906153033885689
"156","2L",747580,0.936327187718404
"157","2L",748007,0.923384981869848
"158","2L",749474,0.719169903052189
"159","2L",751091,0.327264025684339
"160","2L",753013,0.62317660615133
"161","2L",754102,0.50794277213256
"162","2L",754669,0.652990581717746
"163","2L",764669,0.0276726569909317
"164","2L",769714,0.916693895751539
"165","2L",770228,1.39790011612961e-09
"166","2L",773403,0.0266484665588741
"167","2L",776552,3.66578215516283e-08
"168","2L",777851,0.0305438097748918
"169","2L",790961,0.404933868593014
"170","2L",791914,5.45638019858653e-07
"171","2L",792748,0.000995531117497156
"172","2L",793044,0.761550327817571
"173","2L",795971,0.947843490710528
"174","2L",798038,0.193194080629545
"175","2L",798775,4.09718444193473e-11
"176","2L",799758,0.790653289717931
"177","2L",801615,0.0461755559640958
"178","2L",804693,0.103333286266651
"179","2L",805196,0.641840864095437
"180","2L",806077,7.88729666515536e-05
"181","2L",809633,0.161556307953557
"182","2L",810021,0.53019751273168
"183","2L",812318,0.288375044114316
"184","2L",817044,0.3689558923404
"185","2L",818451,0.792432458680007
"186","2L",819878,0.960257730705682
"187","2L",828251,0.00063018061508911
"188","2L",829362,0.827394405925912
"189","2L",831094,0.991225200771644
"190","2L",833663,0.721929420221937
"191","2L",838302,0.682636613301928
"192","2L",838339,0.791586065032404
"193","2L",843615,0.0997577736735213
"194","2L",846010,0.0106266041972893
"195","2L",847164,0.794128536873046
"196","2L",847840,0.857183061327161
"197","2L",850557,0.733583550006427
"198","2L",851015,0.311100376228572
"199","2L",852705,0.154814620281914
"200","2L",855706,0.632714714561822
"201","2L",862992,0.518571467007776
"202","2L",865733,0.194961676019302
"203","2L",866019,1.35260458992425e-05
"204","2L",874978,7.26472649383903e-08
"205","2L",892685,0.788092422869761
"206","2L",893637,0.29526985900549
