"","DATA.Chr","DATA.Pos","adjusted.p.values"
"1","2L",6895,0.917405096496182
"2","2L",8958,0.716376960860245
"3","2L",9686,0.0199911588684256
"4","2L",22632,0.918809427466093
"5","2L",23454,0.950584234020486
"6","2L",30983,0.769905326775532
"7","2L",35574,0.0864335182543578
"8","2L",44397,0.720777256123604
"9","2L",46105,0.417183883337867
"10","2L",56815,0.0483143470109708
"11","2L",68876,0.978610120319842
"12","2L",78545,0.789187222748231
"13","2L",91143,0.429239947213241
"14","2L",95486,0.918622943798469
"15","2L",97355,0.348443702585321
"16","2L",116140,0.898878489269319
"17","2L",122159,0.637148186153241
"18","2L",123635,0.0238278863320988
"19","2L",125962,0.454822949075054
"20","2L",128046,0.42657075054356
"21","2L",128876,0.572747272374154
"22","2L",134680,0.950917570313393
"23","2L",149947,0.946033271034765
"24","2L",150732,0.877490171056265
"25","2L",160583,0.934678061333794
"26","2L",163492,0.0797999776018432
"27","2L",163611,0.405150298048123
"28","2L",164590,0.785771265124036
"29","2L",170028,0.491745248678728
"30","2L",177121,0.0498106793916122
"31","2L",181362,0.0716896442782968
"32","2L",203721,0.297831717637162
"33","2L",211396,0.617101206012179
"34","2L",217904,0.915114551406085
"35","2L",221849,0.831477586334141
"36","2L",222114,0.425233194368899
"37","2L",236623,0.645191315143294
"38","2L",238525,0.812799393319676
"39","2L",245365,0.511910302076097
"40","2L",247552,0.594981985264718
"41","2L",252762,0.984005010379103
"42","2L",255814,0.643357392583027
"43","2L",270417,0.461037220018914
"44","2L",270714,0.0143834425027408
"45","2L",275765,0.837602514552318
"46","2L",276009,0.902131124495216
"47","2L",278514,0.61383880711681
"48","2L",285787,0.561726467287029
"49","2L",290790,0.06967954097454
"50","2L",300316,0.115293366055882
"51","2L",303433,0.064105996240248
"52","2L",312348,0.752303948843022
"53","2L",313895,0.786606913945774
"54","2L",314052,0.558164420214752
"55","2L",319731,0.94286170958184
"56","2L",319992,0.788119779531564
"57","2L",323132,0.0678967471673831
"58","2L",331692,0.941340815722873
"59","2L",334419,0.924277535252546
"60","2L",335025,0.641844244481263
"61","2L",344942,0.862747778073003
"62","2L",345812,0.941817023028486
"63","2L",346923,0.691194073054178
"64","2L",366979,0.115471272289294
"65","2L",367265,0.745098799791945
"66","2L",372198,0.922654620077057
"67","2L",379493,0.509145890722255
"68","2L",398988,0.0306001465908546
"69","2L",415803,0.0528358253551912
"70","2L",417320,0.807261338083198
"71","2L",419138,0.71096043603194
"72","2L",424586,0.0818981579230884
"73","2L",436286,0.0637509604538242
"74","2L",440151,0.722319437835975
"75","2L",452159,0.242862542427847
"76","2L",467717,0.538749758570471
"77","2L",468354,0.216224293521371
"78","2L",469414,0.789096635681794
"79","2L",469685,0.215455075938792
"80","2L",482454,0.982617042917162
"81","2L",483234,0.00103205343742011
"82","2L",487000,0.615050643470056
"83","2L",490230,0.394382203959883
"84","2L",493301,0.832171156691999
"85","2L",494001,0.736746885051241
"86","2L",498835,0.8143958163199
"87","2L",501789,0.803612095451558
"88","2L",504683,0.506000230924237
"89","2L",505628,0.820099757648238
"90","2L",506989,0.703807411294046
"91","2L",510376,0.699727925817263
"92","2L",511634,0.632469441638444
"93","2L",514851,0.658463970255399
"94","2L",515666,0.297127713550886
"95","2L",518158,0.547440329335452
"96","2L",518891,0.947181876342563
"97","2L",526014,0.928269649891049
"98","2L",541972,4.59259760953087e-05
"99","2L",551044,0.805338560020675
"100","2L",553155,0.163581099435416
"101","2L",560372,0.659334372607175
"102","2L",568456,0.00109291510798698
"103","2L",572993,0.881565148943838
"104","2L",575912,0.0235983318123921
"105","2L",575921,0.599658557001613
"106","2L",580247,0.206162732659725
"107","2L",581295,0.759398932310333
"108","2L",582054,0.769282494728798
"109","2L",583984,0.914002664168526
"110","2L",588821,0.959196748440026
"111","2L",589939,0.156439688340905
"112","2L",590850,0.584808816173014
"113","2L",600117,0.891477312752247
"114","2L",603201,0.502312647446325
"115","2L",606082,0.885513290887829
"116","2L",606585,0.551202188437589
"117","2L",607429,0.848525482710566
"118","2L",611233,0.602063082693622
"119","2L",637432,0.010807341447328
"120","2L",646500,0.109592183358498
"121","2L",647642,0.791109882368196
"122","2L",649004,2.69169822625848e-06
"123","2L",649399,0.919161010130749
"124","2L",652048,0.854851173470915
"125","2L",654145,0.937487620628219
"126","2L",659392,0.435654668629223
"127","2L",663983,0.879962300009125
"128","2L",665365,0.532222750652774
"129","2L",665410,0.959235701586595
"130","2L",667269,0.0013649604257523
"131","2L",668922,0.973368008113932
"132","2L",670267,0.599851369051035
"133","2L",671498,0.451889723095675
"134","2L",673398,0.956639479674168
"135","2L",679157,0.60177612127196
"136","2L",679701,1.02522310247003e-07
"137","2L",680272,0.74974098045434
"138","2L",683695,0.833242844840115
"139","2L",684473,0.601739028100799
"140","2L",686211,0.0249680971612808
"141","2L",697718,0.279586546729185
"142","2L",706615,0.97290555912255
"143","2L",708179,0.197680845191488
"144","2L",709803,0.854149803327954
"145","2L",715789,0.759273089463162
"146","2L",717866,0.245076905145663
"147","2L",726121,0.0879558937192951
"148","2L",726701,0.580040725193113
"149","2L",732502,0.094627217593743
"150","2L",733168,0.875406658388014
"151","2L",736048,0.0330721360746738
"152","2L",736446,0.176156870533279
"153","2L",736608,0.919277241905465
"154","2L",740706,0.271760659737129
"155","2L",745395,0.799094687769431
"156","2L",747580,0.912153020873518
"157","2L",748007,0.853353241755397
"158","2L",749474,0.517650213850681
"159","2L",751091,0.928162997905169
"160","2L",753013,0.292539666407099
"161","2L",754102,0.713494220130677
"162","2L",754669,0.373801177217926
"163","2L",764669,0.547248919710291
"164","2L",769714,0.848830782123126
"165","2L",770228,0.00754546221101077
"166","2L",773403,0.053346625359189
"167","2L",776552,0.0141407446803325
"168","2L",777851,0.678368162820148
"169","2L",790961,0.0164930041903619
"170","2L",791914,0.233425943964044
"171","2L",792748,0.434124310007313
"172","2L",793044,0.103717824239096
"173","2L",795971,0.903803700791811
"174","2L",798038,0.823081422061919
"175","2L",798775,0.587895443501498
"176","2L",799758,0.491011228560138
"177","2L",801615,0.00549051113057515
"178","2L",804693,0.284333209634839
"179","2L",805196,0.123743078158805
"180","2L",806077,0.0876333033547868
"181","2L",809633,0.977748976725357
"182","2L",810021,0.557623745874407
"183","2L",812318,0.927263897310204
"184","2L",817044,0.721445845576134
"185","2L",818451,0.664257515720949
"186","2L",819878,0.597185543377585
"187","2L",828251,0.357626913100491
"188","2L",829362,0.67268646161197
"189","2L",831094,0.857795209496485
"190","2L",833663,0.949462945304261
"191","2L",838302,0.0489832865582941
"192","2L",838339,0.572293646790387
