,Class
CA_Ont_Sud_1_2015-08-03,2
CA_Ont_Sud_1_2015-09-30,2
FR_Gua_Des_1_2015-12-16,3
FR_Gua_Sai_1_2015-12-23,3
US_Cal_Esp_1_2012-06-13,4
US_Cal_Esp_1_2012-08-22,4
US_Cal_Esp_1_2012-11-20,4
US_Cal_Esp_1_2013-05-07,4
US_Cal_Esp_1_2013-09-01,4
US_Cal_Pla_1_2012-08-25,4
US_Cal_Pla_1_2012-11-18,4
US_Cal_Pla_1_2013-08-30,4
US_Cal_Pla_1_2013-12-16,4
US_Cal_Sto_1_2012-10-01,4
US_Cal_Sto_1_2012-11-15,4
US_Cal_Sto_1_2013-09-03,4
US_Cal_Tuo_1_2012-10-10,4
US_Cal_Tuo_1_2012-11-17,4
US_Cal_Tuo_1_2013-05-14,4
US_Cal_Tuo_1_2013-08-31,4
US_Cal_Tuo_1_2013-12-08,4
US_Cal_Win_1_1998-07-02,4
US_Flo_Hom_1_2010-07-15,1
US_Flo_Hom_1_2010-12-16,0
US_Geo_Ath_1_2014-06-17,1
US_Geo_Ath_1_2014-10-15,1
US_Geo_Hah_1_2008-07-16,1
US_Ill_Urb_1_2015-07-11,2
US_Kan_Top_1_2014-06-22,2
US_Kan_Top_1_2014-10-22,2
US_Mai_Bow_1_2009-10-15,0
US_Mai_Bow_2_2009-10-15,0
US_Mas_Lan_1_2012-07-28,0
US_Mas_Lan_1_2012-10-02,0
US_Mas_Lan_1_2014-07-20,2
US_Mas_Lan_1_2014-10-20,2
US_Mic_Ben_1_2014-07-26,2
US_Mic_Ben_1_2014-11-05,2
US_New_Ith_1_2012-07-25,0
US_New_Ith_1_2012-09-23,0
US_Nor_Ral_1_2003-07-01,2
US_Nor_Ral_2_2003-07-01,2
US_Pen_Lin_1_2009-07-15,0
US_Pen_Lin_1_2009-11-16,0
US_Pen_Lin_1_2010-07-15,0
US_Pen_Lin_1_2010-11-16,0
US_Pen_Lin_1_2011-07-15,0
US_Pen_Lin_1_2011-10-15,0
US_Pen_Lin_1_2011-11-16,0
US_Pen_Lin_1_2012-07-16,0
US_Pen_Lin_1_2012-09-13,0
US_Pen_Lin_1_2012-10-10,0
US_Pen_Lin_1_2013-06-15,2
US_Pen_Lin_1_2014-06-27,2
US_Pen_Lin_1_2014-10-17,2
US_Pen_Lin_1_2015-07-15,2
US_Pen_Lin_1_2015-10-15,2
US_Pen_Sta_1_2014-06-18,2
US_Pen_Sta_1_2014-10-16,2
US_Pen_Sta_1_2015-07-18,2
US_Rho_Pro_1_2014-09-25,0
US_Rho_Pro_2_2014-09-25,0
US_Rho_Pro_3_2014-09-25,0
US_Rho_Pro_4_2014-09-25,0
US_Rho_Pro_5_2014-09-25,0
US_Rho_Pro_8_2015-06-11,0
US_Sou_Eut_1_2010-07-15,0
US_Vir_Cha_1_2012-07-18,3
US_Vir_Cha_1_2012-11-05,3
US_Vir_Cha_1_2014-06-25,1
US_Vir_Cha_1_2014-10-14,1
US_Vir_Cha_1_2015-07-01,3
US_Vir_Cha_1_2015-10-19,1
US_Vir_Cha_1_2016-07-08,1
US_Vir_Cha_1_2016-07-22,3
US_Vir_Cha_1_2016-08-19,3
US_Vir_Cha_1_2016-09-02,3
US_Vir_Cha_1_2016-09-16,3
US_Vir_Cha_1_2016-10-03,3
US_Vir_Cha_1_2016-10-14,3
US_Vir_Cha_1_2016-10-28,3
US_Vir_Cha_1_2016-11-11,3
US_Vir_Cha_1_2016-12-03,3
US_Vir_Cha_1_2017-06-22,3
US_Vir_Cha_1_2017-07-07,3
US_Vir_Cha_1_2017-07-20,3
US_Vir_Cha_1_2017-08-03,3
US_Vir_Cha_1_2017-08-17,3
US_Vir_Cha_1_2017-08-31,3
US_Vir_Cha_1_2017-09-14,1
US_Vir_Cha_1_2017-09-28,1
US_Vir_Cha_1_2017-10-12,1
US_Vir_Cha_1_2017-10-26,3
US_Vir_Cha_1_2017-11-09,1
US_Vir_Cha_1_2017-11-24,1
US_Vir_Cha_1_2017-12-07,1
US_Vir_Cha_1_2018-06-28,3
US_Vir_Cha_1_2018-07-05,3
US_Vir_Cha_1_2018-07-12,3
US_Vir_Cha_1_2018-07-26,3
US_Vir_Cha_1_2018-08-09,3
US_Vir_Cha_1_2018-08-23,3
US_Vir_Cha_1_2018-09-06,3
US_Vir_Cha_1_2018-09-20,3
US_Vir_Cha_1_2018-10-04,3
US_Vir_Cha_1_2018-10-18,1
US_Vir_Cha_1_2018-10-25,3
US_Vir_Cha_1_2018-11-01,1
US_Vir_Cha_1_2018-11-29,3
US_Vir_Cha_1_2019-06-18,3
US_Vir_Cha_1_2019-08-14,3
US_Vir_Cha_1_2019-09-06,1
US_Vir_Cha_1_2020-07-03,3
US_Was_Tac_1_2014-07-15,4
US_Wis_Cro_1_2012-06-10,2
US_Wis_Cro_1_2012-09-11,0
US_Wis_Cro_1_2012-10-20,0
US_Wis_Cro_1_2013-07-02,2
US_Wis_Cro_1_2013-09-22,2
US_Wis_Cro_1_2014-06-25,2
US_Wis_Cro_1_2014-09-18,2
