sampleId,ParticipantId,collectionStart,collectionEnd,Lat,Long,EnoughMel: 34,melanogaster,simulans,mel/sim_female,suzukii,busckii,testacea,others,other,bait,location,DNAextraction,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note,Note
VCFC_001,VCF24A001,19-06-2024,19-06-2024,48.2909924,16.3305821,0,7,6,,35,14,38,,,,,,,,,,,,,,,,,,,,,,
VCFC_002,VCF24A003,28-06-2024,08-07-2024,48.24752,16.439,0,1,,,,,,3 repleta,,none,kitchen,,,,,,,,,,,,,,,,,,
VCFC_003,VCF24A022,05-06-2024,17-06-2024,48.211826,16.392461,0,na,na,,na,na,na,,,,,,,,,,,,,,,,,,,,,,
VCFC_004,VCF24A012,18-06-2024,21-06-2024,48.176807,16.36726,0,3,,2,,,,13 repleta-Gruppe,,,,,,,,,,,,,,,,,,,,,
VCFC_005,VCF24A022,20-06-2024,25-06-2024,48.211826,16.392461,0,1,,1,,,,15 repleta,,,,,,,,,,,,,,,,,,,,,
VCFC_006,VCF24A054,18-06-2024,23-06-2024,48.238611,16.38297,0,,,,,,,"12 repleta, 2?",,,,,,,,,,,,,,,,,,,,,
VCFC_007,VCF24M004,19-06-2024,26-06-2024,48.2024576,16.3912598,1,33,1,1,,,,,1??,banana,market,,,,,,,,,,,,,,,,,,
VCFC_008,VCF24M006,19-06-2024,26-06-2024,48.1993004,16.3526577,0,,,,,,,7 repleta,,apricot,market,,Von Fruchtfleisch überzogen,,,,,,,,,,,,,,,,
VCFC_009,VCF24A006,20-06-2024,24-06-2024,48.232858,16.290515,0,,,,,,,1 repleta,,,,,,,,,,,,,,,,,,,,,
VCFC_010,VCF24M005,19-06-2024,26-06-2024,48.1984457,16.3632550,0,sim/mel 3m,,3,,,,2 repleta,,,market,,,,,,,,,,,,,,,,,,
VCFC_011,VCF24M008,19-06-2024,26-06-2024,48.2216895,16.4020354,0,"zu zählen, in sackerl","zu zählen, in sackerl",,,,,,,banana,market,,,,,,,,,,,,,,,,,,
VCFC_012,VCF24A054,23-06-2024,27-06-2024,48.238611,16.38297,0,2,,3,,,,repleta > 70,,,,,,,,,,,,,,,,,,,,,
VCFC_013,VCF24A010,24-06-2024,01-07-2024,48.1525687,16.3701174,1,33,,,,,,viele?. inkl. cf mel w,,banana,,,No.1,,,,,,,,,,,,,,,,
