sampleId,lat,long,nFlies,near_surface_air_temperature,bio1
CA_Ont_Sud_1_2015-09-30,46.53,-80.96,110,279.5198,41.0
FR_Gua_Des_1_2015-12-16,16.32,-61.78,40,0.0,241.0
FR_Gua_Sai_1_2015-12-23,16.25,-61.28,40,0.0,259.0
US_Flo_Hom_1_2010-07-15,25.5,-80.477,39,295.2981,236.0
US_Flo_Hom_1_2010-12-16,25.5,-80.477,48,295.2981,236.0
US_Geo_Ath_1_2014-06-17,33.95,-83.36,44,299.2283,163.0
US_Geo_Ath_1_2014-10-15,33.95,-83.36,99,288.5009,163.0
US_Geo_Hah_1_2008-07-16,30.99,-83.37,51,288.2816,193.0
US_Ill_Urb_1_2015-07-11,40.11,-88.21,184,294.7681,108.0
US_Kan_Top_1_2014-06-22,39.0913433,-95.6246509,72,300.3344,124.0
US_Kan_Top_1_2014-10-22,39.202831,-95.741527,48,290.6583,123.0
US_Mai_Bow_1_2009-10-15,44.0,-69.96,86,274.5395,74.0
US_Mai_Bow_2_2009-10-15,44.0,-69.96,75,274.5395,74.0
US_Mas_Lan_1_2012-07-28,42.45,-71.67,100,293.0526,86.0
US_Mas_Lan_1_2012-10-02,42.45,-71.67,63,287.6083,86.0
US_Mas_Lan_1_2014-07-20,42.45,-71.67,32,291.7969,86.0
US_Mas_Lan_1_2014-10-20,42.45,-71.67,90,279.0803,86.0
US_Mic_Ben_1_2014-07-26,42.1111,-86.4483,106,295.0728,96.0
US_Mic_Ben_1_2014-11-05,42.1111,-86.4483,34,280.2709,96.0
US_New_Ith_1_2012-07-25,42.44,-76.5,30,294.6651,83.0
US_New_Ith_1_2012-09-23,42.44,-76.5,58,284.7654,83.0
US_Nor_Ral_1_2003-07-01,35.76,-78.66,205,280.9398,154.0
US_Nor_Ral_2_2003-07-01,35.77,-78.63,92,280.9398,154.0
US_Pen_Lin_1_2009-07-15,39.88,-75.41,55,276.4304,121.0
US_Pen_Lin_1_2009-11-16,39.88,-75.41,74,276.4304,121.0
US_Pen_Lin_1_2010-07-15,39.88,-75.41,116,276.4304,121.0
US_Pen_Lin_1_2010-11-16,39.88,-75.41,33,276.4304,121.0
US_Pen_Lin_1_2011-07-15,39.88,-75.41,75,295.3883,121.0
US_Pen_Lin_1_2011-10-15,39.88,-75.41,47,287.047,121.0
US_Pen_Lin_1_2011-11-16,39.88,-75.41,50,285.1754,121.0
US_Pen_Lin_1_2012-07-16,39.88,-75.41,115,299.1842,121.0
US_Pen_Lin_1_2012-09-13,39.88,-75.41,50,291.5993,121.0
US_Pen_Lin_1_2012-10-10,39.88,-75.41,100,286.6978,121.0
US_Pen_Lin_1_2013-06-15,39.88,-75.41,54,292.6449,121.0
US_Pen_Lin_1_2014-06-27,39.88,-75.41,92,296.104,121.0
US_Pen_Lin_1_2014-10-17,39.88,-75.41,50,288.0523,121.0
US_Pen_Lin_1_2015-07-15,39.88,-75.41,74,295.7109,121.0
US_Pen_Lin_1_2015-10-15,39.88,-75.41,52,285.0365,121.0
US_Pen_Sta_1_2014-06-18,40.793395,-77.860001,45,297.4438,95.0
US_Pen_Sta_1_2014-10-16,40.793395,-77.860001,67,285.9586,95.0
US_Pen_Sta_1_2015-07-18,40.793395,-77.860001,47,297.4252,95.0
US_Rho_Pro_1_2014-09-25,41.833989,-71.4047,41,286.1354,96.0
US_Rho_Pro_2_2014-09-25,41.827639,-71.401978,41,286.1354,97.0
US_Rho_Pro_3_2014-09-25,41.823612,-71.389529,41,286.1354,97.0
US_Rho_Pro_4_2014-09-25,41.823834,-71.396821,41,286.1354,97.0
US_Rho_Pro_5_2014-09-25,41.825072,-71.412921,41,286.1354,97.0
US_Rho_Pro_8_2015-06-11,41.823612,-71.389529,34,296.852,97.0
US_Sou_Eut_1_2010-07-15,33.39,-80.34,48,287.138,177.0
US_Vir_Cha_1_2012-07-18,38.0,-78.47,95,301.5336,134.0
US_Vir_Cha_1_2012-11-05,38.0,-78.47,50,277.2965,134.0
US_Vir_Cha_1_2014-06-25,38.0,-78.47,104,297.6596,134.0
US_Vir_Cha_1_2014-10-14,38.0,-78.47,76,292.5042,134.0
US_Vir_Cha_1_2015-07-01,38.0,-78.47,65,295.6579,134.0
US_Vir_Cha_1_2015-10-19,38.0,-78.47,89,277.8067,134.0
US_Vir_Cha_1_2016-07-08,37.979,-78.4897,36,298.844,130.0
US_Vir_Cha_1_2016-07-22,37.979,-78.4897,22,299.5255,130.0
US_Vir_Cha_1_2016-08-19,37.979,-78.4897,23,298.1619,130.0
US_Vir_Cha_1_2016-09-02,37.979,-78.4897,146,294.278,130.0
US_Vir_Cha_1_2016-09-16,37.979,-78.4897,113,293.0495,130.0
US_Vir_Cha_1_2016-10-03,37.979,-78.4897,40,291.8458,130.0
US_Vir_Cha_1_2016-10-14,37.979,-78.4897,150,285.4544,130.0
US_Vir_Cha_1_2016-10-28,37.979,-78.4897,118,286.9281,130.0
US_Vir_Cha_1_2016-11-11,37.979,-78.4897,86,284.5019,130.0
US_Vir_Cha_1_2016-12-03,37.979,-78.4897,70,277.1605,130.0
US_Vir_Cha_1_2017-06-22,37.979,-78.4897,39,297.4896,130.0
US_Vir_Cha_1_2017-07-07,37.979,-78.4897,45,297.7303,130.0
US_Vir_Cha_1_2017-07-20,37.979,-78.4897,69,300.6726,130.0
US_Vir_Cha_1_2017-08-03,37.979,-78.4897,29,297.3398,130.0
US_Vir_Cha_1_2017-08-17,37.979,-78.4897,32,298.7345,130.0
US_Vir_Cha_1_2017-08-31,37.979,-78.4897,87,294.638,130.0
US_Vir_Cha_1_2017-09-14,37.979,-78.4897,92,293.59,130.0
US_Vir_Cha_1_2017-09-28,37.979,-78.4897,136,296.2274,130.0
US_Vir_Cha_1_2017-10-12,37.979,-78.4897,107,292.0479,130.0
US_Vir_Cha_1_2017-10-26,37.979,-78.4897,120,282.3734,130.0
US_Vir_Cha_1_2017-11-09,37.979,-78.4897,122,280.1711,130.0
US_Vir_Cha_1_2017-11-24,37.979,-78.4897,21,276.3345,130.0
US_Vir_Cha_1_2017-12-07,37.979,-78.4897,24,276.4438,130.0
US_Vir_Cha_1_2018-06-28,37.979,-78.4897,10,298.682,130.0
US_Vir_Cha_1_2018-07-05,37.979,-78.4897,26,299.2744,130.0
US_Vir_Cha_1_2018-07-12,37.979,-78.4897,58,298.0779,130.0
US_Vir_Cha_1_2018-07-26,37.979,-78.4897,70,296.7922,130.0
US_Vir_Cha_1_2018-08-09,37.979,-78.4897,84,298.9486,130.0
US_Vir_Cha_1_2018-08-23,37.979,-78.4897,69,293.2404,130.0
US_Vir_Cha_1_2018-09-06,37.979,-78.4897,60,300.1066,130.0
US_Vir_Cha_1_2018-09-20,37.979,-78.4897,77,296.6835,130.0
US_Vir_Cha_1_2018-10-04,37.979,-78.4897,108,296.3432,130.0
US_Vir_Cha_1_2018-10-18,37.979,-78.4897,136,283.4412,130.0
US_Vir_Cha_1_2018-10-25,37.979,-78.4897,122,278.2066,130.0
US_Vir_Cha_1_2018-11-01,37.979,-78.4897,103,289.1769,130.0
US_Vir_Cha_1_2018-11-29,37.979,-78.4897,16,273.0978,130.0
US_Vir_Cha_1_2019-06-18,37.979,-78.4897,40,279.2392,130.0
US_Vir_Cha_1_2019-08-14,37.979,-78.4897,30,279.2392,130.0
US_Vir_Cha_1_2019-09-06,37.979,-78.4897,40,279.2392,130.0
US_Vir_Cha_1_2020-07-03,37.979,-78.4897,40,279.2392,130.0
US_Wis_Cro_1_2012-06-10,43.11,-89.65,83,297.4066,76.0
US_Wis_Cro_1_2012-09-11,43.11,-89.65,164,292.3033,76.0
US_Wis_Cro_1_2012-10-20,43.11,-89.65,100,280.6697,76.0
US_Wis_Cro_1_2013-07-02,43.11,-89.65,130,292.4981,76.0
US_Wis_Cro_1_2013-09-22,43.11,-89.65,61,283.7948,76.0
US_Wis_Cro_1_2014-06-25,43.11,-89.65,130,293.5204,76.0
US_Wis_Cro_1_2014-09-18,43.11,-89.65,61,285.4589,76.0
