CoverageID,CRS,minlat,maxlat,minlong,maxlong,f,t,resolution_dim1,resolution_dim2,resolution_dim3/time
AverageChlorophyll,EPSG/0/4326,-90.0,90.0,-180.0,180.0,2015-01-01T00:00:00+00:00,2015-01-01T00:00:00+00:00,1.5,-1.5,1
corine_land_cover,EPSG/0/3035,900000.0,5500000.0,900000.0,7400000.0,2018-01-01T08:12:02.000Z,2018-01-01T08:12:02.000Z,100,-100,1
dominant_leaf_type,EPSG/0/3035,900000.0,5500000.0,900000.0,7400000.0,2015-01-01T08:12:02.000Z,2015-01-01T08:12:02.000Z,10,-10,1
european_settlement_map,EPSG/0/3035,842000.0,5442000.0,844000.0,7344000.0,2015-01-01T08:12:02.000Z,2015-01-01T08:12:02.000Z,2,-2,1
grassland__change,EPSG/0/3035,900000.0,5500000.0,900000.0,7400000.0,2018-01-01T08:12:02.000Z,2018-01-01T08:12:02.000Z,20,-20,1
grassland_change,EPSG/0/3035,2100000.0,2200000.0,5000000.0,5100000.0,2018-01-01T20:12:02+00:00,2018-01-01T20:12:02+00:00,20,-20,1
grassland_status,EPSG/0/3035,900000.0,5500000.0,900000.0,7400000.0,2018-01-01T08:12:02.000Z,2018-01-01T08:12:02.000Z,10,-10,1
high_resolution_layer_forest_type,EPSG/0/3035,900000.0,5500000.0,900000.0,7400000.0,2015-01-01T08:12:02.000Z,2015-01-01T08:12:02.000Z,10,-10,1
imperviousness,EPSG/0/3035,900000.0,5500000.0,900000.0,7400000.0,2018-01-01T08:12:02.000Z,2018-01-01T08:12:02.000Z,10,-10,1
maxes_sentinel2_2018_flevopolder_10m_7x4bands,OGC/0/Index1D,0,28,0,28,NA,NA
sentinel2_2018_flevopolder_10m_7x4bands,EPSG/0/32631,674900.0,729800.0,5832260.0,5853960.0,NA,NA,-10,10
small_woody_features,EPSG/0/4326,937300.0,5405400.0,933700.0,7317100.0,2015-01-01T08:12:02.000Z,2015-01-01T08:12:02.000Z,100,-100,1
tree_cover_density,EPSG/0/3035,1500000.0,4200000.0,3700000.0,6600000.0,2018-01-01T08:12:02.000Z,2018-01-01T08:12:02.000Z,10,-10,1
water_and_wetness,EPSG/0/4326,27.04280000000000,72.2158,-31.9005,46.1949,2018-01-01T08:12:02.000Z,2018-01-01T08:12:02.000Z,0.0001,-0.0001,1
