"","DATA.Chr","DATA.Pos","adjusted.p.values"
"1","2L",6895,0.51666023291677
"2","2L",8958,0.712481104786038
"3","2L",9686,0.00677862668835059
"4","2L",22632,0.935793243537123
"5","2L",23454,0.917507195179225
"6","2L",30983,0.782805161005477
"7","2L",35574,0.119878340217092
"8","2L",44397,0.744039817585192
"9","2L",46105,0.462267016597082
"10","2L",56815,0.140503555872064
"11","2L",68876,0.640275620098828
"12","2L",78545,0.701166350484216
"13","2L",91143,0.584260629221627
"14","2L",95486,0.704333710270171
"15","2L",97355,0.239994749850972
"16","2L",116140,0.975770170994156
"17","2L",122159,0.500203371267342
"18","2L",123635,0.188393965946098
"19","2L",125962,0.504580218894708
"20","2L",128046,0.955936746375602
"21","2L",128876,0.783339225291108
"22","2L",134680,0.978701418830113
"23","2L",149947,0.966424113902985
"24","2L",150732,0.34886837538309
"25","2L",160583,0.928783405828223
"26","2L",163492,0.0164906474552837
"27","2L",163611,0.203161751717351
"28","2L",164590,0.580347047140038
"29","2L",170028,0.623550329400849
"30","2L",177121,0.0035698505848987
"31","2L",181362,0.00594283769447481
"32","2L",203721,0.376790075807957
"33","2L",211396,0.692003180428399
"34","2L",217904,0.942993100982564
"35","2L",221849,0.845604628523262
"36","2L",222114,0.459415971696537
"37","2L",236623,0.700248416039355
"38","2L",238525,0.407603293143369
"39","2L",245365,0.699104830060355
"40","2L",247552,0.632235868986775
"41","2L",252762,0.961031250053813
"42","2L",255814,0.963358076921125
"43","2L",270417,0.83181763249387
"44","2L",270714,0.0158136933003356
"45","2L",275765,0.773483414973041
"46","2L",276009,0.906325509887714
"47","2L",278514,0.696115497561951
"48","2L",285787,0.626686102368393
"49","2L",290790,0.00305980657483403
"50","2L",300316,0.105661657885188
"51","2L",303433,0.36588151217025
"52","2L",312348,0.610530584237899
"53","2L",313895,0.786318297854567
"54","2L",314052,0.602631124966392
"55","2L",319731,0.826356277468023
"56","2L",319992,0.85488022425234
"57","2L",323132,0.0965224841368317
"58","2L",331692,0.968448200277105
"59","2L",334419,0.995903853586823
"60","2L",335025,0.816564189604945
"61","2L",344942,0.871360969026233
"62","2L",345812,0.916818454671961
"63","2L",346923,0.490323661871396
"64","2L",366979,0.334350796440308
"65","2L",367265,0.46478113032273
"66","2L",372198,0.890431279705476
"67","2L",379493,0.784425084814788
"68","2L",398988,0.179212707954609
"69","2L",415803,0.92854977749313
"70","2L",417320,0.729478259020739
"71","2L",419138,0.534515203313933
"72","2L",424586,0.0949948619460412
"73","2L",436286,0.000703476004996213
"74","2L",440151,0.795006431124178
"75","2L",452159,0.962643705643326
"76","2L",467717,0.0916066312088056
"77","2L",468354,0.170719702592898
"78","2L",469414,0.358091611745994
"79","2L",469685,0.0109439446711475
"80","2L",482454,0.374816489505732
