,Class
AT_Kar_See_1_2014-08-17,1
AT_Kar_See_1_2016-08-01,1
AT_Nie_Mau_1_2014-07-20,1
AT_Nie_Mau_1_2014-10-19,1
AT_Nie_Mau_1_2015-07-20,1
AT_Nie_Mau_1_2015-10-19,1
AT_Wie_Gro_1_2012-08-03,4
AT_Wie_Gro_1_2012-10-20,4
BY_Bre_Bre_1_2015-09-11,14
CH_Fri_Ors_1_2020-08-23,15
CH_Vau_Cha_1_2014-07-24,15
CH_Vau_Cha_1_2014-10-05,15
CH_Vau_Cha_1_2015-08-01,15
CH_Vau_Cha_1_2016-08-15,15
CH_Vau_Vul_1_2018-09-18,6
CH_Vau_Vul_1_2019-07-17,15
CH_Vau_Vul_1_2019-09-24,15
CH_Vau_Vul_1_2020-07-29,15
CH_Vau_Vul_1_2020-09-15,15
DE_Bad_Bro_1_2014-06-26,2
DE_Bad_Bro_1_2014-10-15,3
DE_Bad_Bro_1_2015-06-30,15
DE_Bad_Bro_1_2015-10-25,2
DE_Bad_Bro_1_2016-07-24,3
DE_Bad_Bro_1_2016-10-23,3
DE_Bad_Bro_1_2017-06-27,2
DE_Bad_Bro_1_2018-06-26,14
DE_Bad_Bro_1_2019-07-03,14
DE_Bad_Bro_1_2021-07-21,2
DE_Bad_Bro_1_2021-10-20,2
DE_Bad_Wal_1_2019-10-02,1
DE_Bad_Wal_1_2020-10-02,13
DE_Bay_Mun_1_2014-06-19,13
DE_Bay_Mun_1_2014-09-03,13
DE_Bay_Mun_1_2015-06-01,13
DE_Bay_Mun_1_2015-09-01,2
DE_Bay_Mun_1_2016-06-25,13
DE_Bay_Mun_1_2016-09-01,13
DE_Bay_Mun_1_2017-06-20,13
DE_Bay_Mun_1_2017-09-03,13
DE_Bay_Mun_1_2018-06-25,13
DE_Bay_Mun_1_2018-09-09,13
DE_Bay_Mun_1_2019-06-22,13
DE_Bay_Mun_1_2019-09-02,13
DE_Bay_Mun_1_2020-06-25,13
DE_Bay_Mun_1_2020-09-05,13
DE_Bay_Mun_1_2021-06-25,13
DE_Bay_Mun_1_2021-09-04,13
DE_Bay_Wue_1_2020-07-18,15
DE_Bay_Wue_1_2020-09-23,2
DE_Bay_Wue_1_2021-07-27,17
DE_Bay_Wue_1_2021-10-18,2
DE_Bra_Ber_2_2021-07-24,2
DK_Mid_Kar_1_2014-09-01,2
DK_Mid_Kar_1_2014-11-25,2
DK_Mid_Kar_1_2016-06-08,9
DK_Mid_Kar_1_2016-09-15,9
DK_Mid_Kar_1_2016-11-22,9
DK_Mid_Kar_1_2017-08-08,2
DK_Mid_Kar_1_2018-06-30,12
DK_Mid_Kar_1_2018-10-05,2
DK_Mid_Kar_1_2019-07-09,2
DK_Mid_Kar_1_2019-10-01,2
DK_Mid_Kar_1_2020-07-31,2
DK_Mid_Kar_1_2020-10-31,2
