"","DATA.Chr","DATA.Pos","adjusted.p.values"
"1","2L",258399,0.0942872958070738
"2","2L",282998,0.863241442012699
"3","2L",293751,0.492855288607494
"4","2L",302509,0.655957841262944
"5","2L",315338,0.0153786516153491
"6","2L",330803,0.685116210923089
"7","2L",358014,0.729869481757448
"8","2L",402373,0.88792586830857
"9","2L",439086,0.80025387955891
"10","2L",444596,0.685299009890741
"11","2L",449979,0.864029380416944
"12","2L",494066,0.478364786586493
"13","2L",498852,0.873908793072874
"14","2L",500496,0.811115160799297
"15","2L",502413,0.0560877460158107
"16","2L",502587,0.53345676669314
"17","2L",503720,0.164051369956955
"18","2L",509137,0.631352101912718
"19","2L",509894,0.854869107547107
"20","2L",519438,0.40844804313736
"21","2L",537715,0.899517922419811
"22","2L",541141,0.120504293622226
"23","2L",551947,0.944104106191328
"24","2L",628710,0.377089967096367
"25","2L",630825,0.002748884265354
"26","2L",641336,0.427411094881886
"27","2L",650419,0.897559310124167
"28","2L",658460,0.035548009244515
"29","2L",665013,0.846296550082475
"30","2L",745924,0.0125377174428171
"31","2L",762897,0.530517403965685
"32","2L",829933,0.838168563305048
"33","2L",837497,0.800461915420197
"34","2L",843528,0.276030753953132
"35","2L",859415,0.79976776407057
"36","2L",859729,0.0423933642966947
"37","2L",901335,0.0545248886709147
"38","2L",933783,0.442930080974974
"39","2L",935225,0.147570628559665
"40","2L",937937,0.378043819940812
"41","2L",938096,0.0743948181577685
"42","2L",940994,0.170237121504958
"43","2L",950549,0.0864331759866692
"44","2L",992345,0.365268319480077
"45","2L",993946,0.89504639381199
"46","2L",994655,0.88735040977138
"47","2L",1006617,0.288169175849321
"48","2L",1013989,0.745830825878241
"49","2L",1018096,0.842554353605496
"50","2L",1018481,0.977512972754378
"51","2L",1019004,0.887525271704432
"52","2L",1021667,0.776295519369632
"53","2L",1026609,0.00662286826592988
"54","2L",1029030,0.860293350364439
"55","2L",1030069,0.852709116865165
"56","2L",1045625,0.780672756715755
"57","2L",1094125,0.35642484387699
"58","2L",1097687,0.144335690445273
"59","2L",1110193,0.000641093225460655
"60","2L",1118044,0.0598600162451171
"61","2L",1189980,0.104845031077466
"62","2L",1196917,0.129158280681101
"63","2L",1201776,0.786340583238227
"64","2L",1207639,0.434510646410699
"65","2L",1233860,0.813341811075836
"66","2L",1243013,0.0500065864677679
"67","2L",1271745,0.0272105317820418
"68","2L",1271790,6.58847743582764e-06
"69","2L",1278765,0.858097342595413
"70","2L",1282549,0.210621699938215
"71","2L",1288800,0.9105799542475
"72","2L",1317256,0.0589301145569645
"73","2L",1318340,5.40220147041813e-08
"74","2L",1330074,0.895675277459279
"75","2L",1330394,0.155513048097748
"76","2L",1340147,0.816986912713367
"77","2L",1365469,0.761311127610558
"78","2L",1366439,0.478659018103453
"79","2L",1372376,0.400007264785111
"80","2L",1374456,0.176010694667035
"81","2L",1377007,0.535417372247287
"82","2L",1393914,0.9526073969542
"83","2L",1411091,0.953630690961534
"84","2L",1415323,0.825679852383349
"85","2L",1426268,0.621638671131377
"86","2L",1430229,0.566193615020589
"87","2L",1444270,0.0711690508990014
"88","2L",1450708,0.857196732880627
"89","2L",1479998,0.527164680037631
"90","2L",1519551,0.669456934528454
"91","2L",1532177,0.782604955030451
"92","2L",1544004,0.0237777487847947
"93","2L",1576472,0.423064400740748
"94","2L",1591690,0.210293955247402
"95","2L",1619525,0.375326182472933
"96","2L",1631888,0.401796382312514
"97","2L",1638015,0.23411411432325
"98","2L",1645294,0.459573142110981
"99","2L",1646789,0.525725251826551
"100","2L",1677196,0.579456925182686
