"","DATA.Chr","DATA.Pos","adjusted.p.values"
"1","2L",258399,0.352390406371305
"2","2L",282998,0.926790519099047
"3","2L",293751,5.81578124539795e-05
"4","2L",302509,0.82467548729401
"5","2L",315338,5.10436487150282e-05
"6","2L",330803,0.593111487605688
"7","2L",358014,0.928639795860954
"8","2L",402373,0.760155602470679
"9","2L",439086,0.0185295321458748
"10","2L",444596,0.79659208921499
"11","2L",449979,0.931417057131217
"12","2L",494066,0.000135862278321325
"13","2L",498852,0.0821047805235174
"14","2L",500496,0.80984956164425
"15","2L",502413,0.103980156852269
"16","2L",502587,0.59609260162361
"17","2L",503720,0.0241123925052086
"18","2L",509137,0.0583482336717631
"19","2L",509894,0.926780268657679
"20","2L",519438,0.179833964685986
"21","2L",537715,0.989207810058032
"22","2L",541141,0.0164020233541155
"23","2L",551947,0.0687148809700499
"24","2L",628710,0.000485823261664993
"25","2L",630825,0.684096478204043
"26","2L",641336,0.503448752673426
"27","2L",650419,0.734932591717659
"28","2L",658460,7.0534203609007e-07
"29","2L",665013,0.338154217011986
"30","2L",745924,0.0335159255411906
"31","2L",762897,0.247922766784952
"32","2L",829933,0.907403244971334
"33","2L",837497,0.556889889728413
"34","2L",843528,0.00129841938074965
"35","2L",859415,0.137283435644811
"36","2L",859729,0.0451062331383585
"37","2L",901335,0.146912073571259
"38","2L",933783,0.180432151979421
"39","2L",935225,5.82355436908888e-05
"40","2L",937937,0.0238521126053282
"41","2L",938096,3.96737220561128e-05
"42","2L",940994,0.306615690399748
"43","2L",950549,0.0511353713661125
"44","2L",992345,0.493416300836791
"45","2L",993946,0.943663556617164
"46","2L",994655,0.733054503350571
"47","2L",1006617,0.322598941112904
"48","2L",1013989,0.536596389141333
"49","2L",1018096,0.768785293093529
"50","2L",1018481,0.642211872763641
"51","2L",1019004,0.943856899821145
"52","2L",1021667,0.882579785919058
"53","2L",1026609,0.0488680325817582
"54","2L",1029030,0.0463085096558598
"55","2L",1030069,0.904256607047069
"56","2L",1045625,0.805461076187611
"57","2L",1094125,0.665993406597988
"58","2L",1097687,0.370226396480579
"59","2L",1110193,0.0191301846565268
"60","2L",1118044,0.237226099691172
"61","2L",1189980,0.0292747950272862
"62","2L",1196917,9.92218668317264e-05
"63","2L",1201776,0.222667809011541
"64","2L",1207639,0.79298772814929
"65","2L",1233860,0.175164016613448
"66","2L",1243013,0.322225018598988
"67","2L",1271745,0.215872900904608
"68","2L",1271790,0.000791792720666888
"69","2L",1278765,0.51861244468257
"70","2L",1282549,0.298566366109296
"71","2L",1288800,0.0233714915604852
"72","2L",1317256,0.0757147106258977
"73","2L",1318340,0.268361510514245
"74","2L",1330074,0.980016408274812
"75","2L",1330394,0.861813345530289
"76","2L",1340147,0.996511388999145
"77","2L",1365469,0.778367823308588
"78","2L",1366439,0.313656040495287
"79","2L",1372376,0.00546316369120447
"80","2L",1374456,0.697958220202024
"81","2L",1377007,0.576525159116389
"82","2L",1393914,4.4843049907736e-06
"83","2L",1411091,0.00136590856198089
"84","2L",1415323,0.00187314986382935
"85","2L",1426268,0.831569834963081
"86","2L",1430229,0.135399509626085
"87","2L",1444270,0.000259534868469285
"88","2L",1450708,0.964752414472624
"89","2L",1479998,3.76538706505897e-05
"90","2L",1519551,0.420519977604493
"91","2L",1532177,0.756862766826981
"92","2L",1544004,3.07843554893319e-05
"93","2L",1576472,0.0148985457053809
"94","2L",1591690,0.111749659939764
"95","2L",1619525,0.307374845331893
"96","2L",1631888,0.506545806820583
"97","2L",1638015,0.532496207319573
"98","2L",1645294,7.41737573680979e-05
"99","2L",1646789,0.0287491547761502
"100","2L",1677196,0.00121085684296004
"101","2L",1691314,0.334017412660868
"102","2L",1696287,2.5043455277997e-05
"103","2L",1704884,0.545233999174783
"104","2L",1722650,0.100349138418772
"105","2L",1727439,0.0418046491072267
"106","2L",1743866,0.000123310420445954
"107","2L",1751378,1.68308955005353e-08
"108","2L",1761543,0.513893204279418
"109","2L",1773470,0.360305502419158
"110","2L",1774929,0.00270738223234067
"111","2L",1783330,0.00527078253810446
"112","2L",1792441,0.0716407976096973
"113","2L",1810520,0.503970759885217
"114","2L",1829665,0.00901277989215888
"115","2L",1839178,0.782913207462964
"116","2L",1843145,0.512034464006018
"117","2L",1865292,0.0966903215806056
"118","2L",1888935,0.462856558463885
"119","2L",1905137,0.00482163445760076
"120","2L",1906153,2.11026615430261e-10
"121","2L",1906480,0.856940614696042
"122","2L",1938476,0.20911392551579
"123","2L",1942812,0.0054073362255391
"124","2L",1955501,0.732791579731877
"125","2L",1959120,0.816317001304812
"126","2L",1989430,0.0215508969946789
"127","2L",1994736,0.902478636682582
"128","2L",2022091,0.551997765948025
"129","2L",2025907,0.384128682768862
"130","2L",2069715,0.64718160424867
"131","2L",2073985,0.165790750310253
"132","2L",2074805,0.611116055737592
"133","2L",2074909,9.29468408690572e-10
"134","2L",2097169,0.152278249508831
"135","2L",2099913,0.349087928656615
"136","2L",2130677,6.06880951498448e-06
"137","2L",2160568,0.92708578702188
"138","2L",2180904,3.09166818831408e-07
"139","2L",2208895,0.0235855590146989
"140","2L",2268299,0.102747339381501
"141","2L",2270772,0.0442314290640105
"142","2L",2322645,0.780483802908622
"143","2L",2328544,0.522092104060843
"144","2L",2333562,2.94103172943238e-05
"145","2L",2345827,3.36828299270876e-05
"146","2L",2347611,0.652558421833357
"147","2L",2350626,0.116042238530922
"148","2L",2371911,0.736812266441816
"149","2L",2398302,0.811210835726118
"150","2L",2422361,9.51547078300659e-08
"151","2L",2430100,0.823861014946583
"152","2L",2477712,0.95111081089458
"153","2L",2500875,4.28859096001642e-09
"154","2L",2503698,0.837488752181938
"155","2L",2516683,0.449411392612901
"156","2L",2523229,0.733640864704297
"157","2L",2538375,0.963432755564483
"158","2L",2539465,0.610422375199647
"159","2L",2564794,0.00678379998949547
"160","2L",2571821,0.729523061436192
"161","2L",2584633,0.15116438988948
"162","2L",2605627,0.0770780167557171
"163","2L",2610757,0.214513087937461
"164","2L",2620068,0.197716023593551
"165","2L",2642111,0.179737983300451
"166","2L",2643407,1.09965219284965e-07
"167","2L",2652949,0.692245560628855
"168","2L",2656179,0.0796401448890364
"169","2L",2668394,0.00137999961730131
"170","2L",2669660,0.483900546469714
"171","2L",2682597,0.536447051539886
"172","2L",2686389,2.21734326330716e-10
"173","2L",2697981,0.600482899707275
"174","2L",2715119,0.260537022857723
"175","2L",2715758,0.0139966112356971
"176","2L",2716078,0.248731892293901
"177","2L",2722538,0.296236585086006
"178","2L",2722815,0.667231316438062
"179","2L",2729461,0.442047952939406
"180","2L",2740063,0.752453704474886
"181","2L",2744398,0.94906234376912
"182","2L",2746848,0.339824798764764
"183","2L",2770992,0.218836797887629
"184","2L",2791541,0.461971107043331
"185","2L",2799370,0.772505317920761
"186","2L",2822235,0.630003684310929
"187","2L",2831524,0.53003198291148
"188","2L",2837037,0.556674408182025
