sampleID,AverageChlorophyll,corine_land_cover,european_settlement_map,grassland__change,grassland_status,high_resolution_layer_forest_type,imperviousness,small_woody_features,tree_cover_density,water_and_wetness
AT_Kar_See_1_2016-08-01,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
AT_Nie_Mau_1_2014-07-20,"""0 0 0""",-128,0,255,255,255,255,NA,255,0
AT_Nie_Mau_1_2014-10-19,"""0 0 0""",-128,0,255,255,255,255,NA,255,0
AT_Nie_Mau_1_2015-07-20,"""0 0 0""",-128,0,255,255,255,255,NA,255,0
AT_Nie_Mau_1_2015-10-19,"""0 0 0""",-128,0,255,255,255,255,NA,255,0
AT_Wie_Gro_1_2012-08-03,"""0 0 0""",44,0,255,255,255,255,NA,255,0
AT_Wie_Gro_1_2012-10-20,"""0 0 0""",44,0,255,255,255,255,NA,255,0
BY_Bre_Bre_1_2015-09-11,"""0 0 0""",-128,0,240,240,240,240,NA,240,255
CH_Fri_Ors_1_2020-08-23,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
CH_Vau_Cha_1_2014-07-24,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
CH_Vau_Cha_1_2014-10-05,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
CH_Vau_Cha_1_2015-08-01,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
CH_Vau_Cha_1_2016-08-15,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
CH_Vau_Vul_1_2018-09-18,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
CH_Vau_Vul_1_2019-07-17,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
CH_Vau_Vul_1_2019-09-24,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
CH_Vau_Vul_1_2020-07-29,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
CH_Vau_Vul_1_2020-09-15,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
CM_Nor_Oku_1_2004-04-15,"""0 0 0""",NA,NA,NA,NA,NA,NA,NA,NA,NA
DE_Bad_Bro_1_2014-06-26,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2014-10-15,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2015-06-30,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2015-10-25,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2016-07-24,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2016-10-23,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2017-06-27,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2018-06-26,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2019-07-03,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2020-07-16,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2020-10-24,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2021-07-21,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Bro_1_2021-10-20,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Wal_1_2019-10-02,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bad_Wal_1_2020-10-02,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2014-06-19,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2014-09-03,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2015-06-01,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2015-09-01,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2016-06-25,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2016-09-01,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2017-06-20,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2017-09-03,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2018-06-25,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2018-09-09,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2019-06-22,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2019-09-02,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2020-06-25,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2020-09-05,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2021-06-25,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Mun_1_2021-09-04,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Wue_1_2020-07-18,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Wue_1_2020-09-23,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Wue_1_2021-07-27,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bay_Wue_1_2021-10-18,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bra_Ber_1_2021-07-24,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DE_Bra_Ber_2_2021-07-24,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2014-09-01,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2014-11-25,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2016-06-08,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2016-09-15,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2016-11-22,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2017-08-08,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2018-06-30,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2018-10-05,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2019-07-09,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2019-10-01,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2020-07-31,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
DK_Mid_Kar_1_2020-10-31,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Bal_Tom_1_2021-10-07,"""37 153 193""",-128,0,240,240,240,240,NA,240,255
ES_Bar_Bar_1_2012-07-13,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Bar_Bar_1_2012-10-16,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Ciu_Man_1_2020-08-10,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Ciu_Tom_1_2015-09-17,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Ciu_Tom_1_2015-10-08,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Ciu_Tom_1_2016-09-02,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Ciu_Tom_1_2016-10-11,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Ciu_Tom_1_2017-10-04,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Ciu_Tom_1_2018-10-03,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Ciu_Tom_1_2020-09-30,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Gra_Ben_1_2016-10-08,"""49 166 194""",-128,0,240,240,240,240,NA,240,0
ES_Gra_Ben_1_2017-10-05,"""49 166 194""",-128,0,240,240,240,240,NA,240,0
ES_Gra_Cor_1_2015-08-08,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Gra_Cor_1_2017-07-28,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Gra_Gua_1_2015-09-12,"""49 166 194""",-128,0,240,240,240,240,NA,240,0
ES_Gra_Pur_1_2016-08-30,"""49 166 194""",-128,0,240,240,240,240,NA,240,0
ES_Ler_Gim_1_2014-08-13,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Ler_Gim_1_2014-10-20,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
ES_Ler_Gim_1_2015-06-28,"""0 0 0""",-128,0,240,240,240,240,NA,240,0
